"filename", "language", "JSON", "Dart", "HTML", "YAML", "Markdown", "Groovy", "Properties", "XML", "Swift", "C++", "comment", "blank", "total"
"c:\sharky\flutter_plant_market\assets\svg\leaf_plus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\sharky\flutter_plant_market\assets\svg\leaves.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\sharky\flutter_plant_market\assets\svg\location.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\sharky\flutter_plant_market\assets\svg\map.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\sharky\flutter_plant_market\assets\svg\max_temp.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\sharky\flutter_plant_market\assets\svg\min_temp.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\sharky\flutter_plant_market\assets\svg\moon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\sharky\flutter_plant_market\assets\svg\plant.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 0, 44
"c:\sharky\flutter_plant_market\assets\svg\privacy.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\sharky\flutter_plant_market\assets\svg\sad.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\sharky\flutter_plant_market\assets\svg\sun.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"c:\sharky\flutter_plant_market\assets\svg\theme.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\sharky\flutter_plant_market\assets\svg\user_information.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\sharky\flutter_plant_market\assets\svg\vegetable.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 1, 0, 52
"c:\sharky\flutter_plant_market\assets\svg\viet_nam_flag.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\sharky\flutter_plant_market\assets\svg\wind.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\sharky\flutter_plant_market\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"c:\sharky\flutter_plant_market\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\sharky\flutter_plant_market\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\sharky\flutter_plant_market\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\sharky\flutter_plant_market\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\sharky\flutter_plant_market\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\sharky\flutter_plant_market\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\sharky\flutter_plant_market\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\sharky\flutter_plant_market\ios\firebase_app_id_file.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\sharky\flutter_plant_market\l10n.yaml", "YAML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\sharky\flutter_plant_market\lib\firebase_options.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 69
"c:\sharky\flutter_plant_market\lib\main.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\sharky\flutter_plant_market\lib\src\core\constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"c:\sharky\flutter_plant_market\lib\src\core\data\datasource\local\share_preference_datasource.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 30
"c:\sharky\flutter_plant_market\lib\src\core\data\datasource\local\share_preference_datasource_impl.dart", "Dart", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 99
"c:\sharky\flutter_plant_market\lib\src\core\data\datasource\remote\user_datasource.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\sharky\flutter_plant_market\lib\src\core\data\datasource\remote\user_datasource_impl.dart", "Dart", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80
"c:\sharky\flutter_plant_market\lib\src\core\data\defines\constants\app_constant.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\sharky\flutter_plant_market\lib\src\core\data\defines\constants\app_locale.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\sharky\flutter_plant_market\lib\src\core\data\defines\constants\audio_constant.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\sharky\flutter_plant_market\lib\src\core\data\defines\constants\image_constant.dart", "Dart", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 190
"c:\sharky\flutter_plant_market\lib\src\core\data\defines\constants\share_preference_key.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\sharky\flutter_plant_market\lib\src\core\data\defines\enum\null_enum.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
